@relation tce_half-weka.filters.unsupervised.attribute.Remove-R40-52-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute av_training_set {PC,AFP,NTP}

@data
2.65169,133.87,0.006315,2.045377,75.78,0.5024,8.636,0.07233,44.43,0.240342,1.085205,-1.007779,0.345285,409,1,11.35,26950,32270,22.3,5109,392,8211,1667,1.073,0.03872,1830,0,6538,4.09,-0.42,1.557,4.576,11.84,-7.829,2.914,0.000053,4.061,0.9589,0.6615,AFP
0.593624,131.759,0.008724,1.093277,34.21,0.9042,1.855,0.08471,67.05,0.370216,0.887516,-0.93034,0.335546,2257,1,11.28,32890,41270,11.59,28890,2221,19520,2010,1.86,0.01608,3540,0,7277,4.05,-0.08,1.954,4.949,13.71,-8.787,6.25,0.000001,2.193,0.8231,0.6411,AFP
30.4549,140.762,0.021029,29.38773,88.73,0.6503,6.232,0.2191,471.1,0.297867,0.867263,-0.678515,0.195619,45,1,15.72,2185,2507,17.31,559,42,330.3,74.09,2.258,0.1938,624,1,6283,4.47,-0.3,0.984,4.999,14.52,-2.153,0.6815,0.6279,21.3,1.083,0.1484,PC
1.80015,132.087,0.005957,1.799548,67.07,0.7011,5.513,0.06384,36.9,0.2717,0.944214,-0.776582,0.238796,753,1,9.232,30620,38360,14.91,9568,735,23630,4055,0.7911,0.02894,1800,0,6284,4.27,-0.36,1.217,6.287,7.149,-4.277,2.107,0.1117,3.392,1.291,0.5983,AFP
7.49017,137.5,0.033172,14.474598,87.1,0.7324,2.881,0.1926,1119,0.635639,-0.522229,1.226847,-0.534177,178,1,49.85,4389,5295,58.51,2314,177,2160,410.7,2.845,0.07025,752,4,5099,4.56,0.04,0.786,11.69,46.74,-2.382,0.6548,0.4462,71.37,1.067,0.05097,PC
1.76094,132.306,0.005561,3.006596,82.8,0.377,4.171,0.02686,34.74,0.554982,0.108974,0.012002,-0.04011,609,1,13.56,19670,23740,15.07,7787,598,7252,1125,1.192,0.03607,2860,1,8782,4.16,0.07,1.965,5.735,13.62,-6.525,2.507,0.8538,5.432,0.9954,0.4791,AFP
38.6523,164.037,0.023507,34.506323,88.74,0.7583,5.883,0.3086,552.3,0.591528,-0.289348,0.922449,-0.443354,25,1,15.96,715.4,918.6,16.43,182,13,120,10.24,2.275,0.214,487,4,5422,4.48,0.02,0.887,5.214,13.2,-3.673,0.6855,0.3954,19.26,1.209,0.2782,PC
1.22148,132.013,0.002605,1.243959,46.46,0.8569,3.905,0.03791,6.387,0.579145,0.077677,-0.034119,-0.005838,1098,1,13.48,35030,41370,16.14,13980,1074,34790,2988,0.9115,0.03072,4210,0,9338,3.84,0.07,3.207,14.93,12.53,-10.63,4.309,0.09905,2.907,1.076,0.8483,AFP
0.520742,131.698,0.007537,1.82181,83.26,0.2138,2.15,0.01685,69.57,0.561161,-0.229079,0.874262,-0.427606,2570,1,10.39,32930,39770,12.32,32990,2537,31010,4274,0.6621,0.01196,1930,0,5338,4.55,-0.1,0.805,9.8,8.732,-2.929,0.7578,0.008273,11.52,1.19,0.3354,NTP
8.81111,136.457,0.032253,3.967267,75.5,0.9936,4.746,4.854,408.3,0.34086,0.78896,-0.61824,0.18846,125,1,66.54,3287,3972,74.29,1573,120,1600,244.7,8.461,0.09183,1400,1,6200,3.8,-0.12,2.404,10.71,63.23,-3.014,0.7633,1.374,82.84,1.052,0.04766,AFP
1.67093,131.547,0.020319,4.336753,83.65,0.4794,2.651,0.06815,480.8,0.600808,-0.363984,1.033811,-0.481537,780,1,36.86,15970,19060,38.89,9997,768,9265,1923,1.783,0.02615,1290,1,5290,4.56,-0.02,0.804,7.169,33.1,-3.15,0.7961,112.2,41.57,1.114,0.09517,AFP
