@relation tce_half-weka.filters.unsupervised.attribute.Remove-R40-52-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute av_training_set {PC,AFP,NTP}

@data
1.28469,131.91,0.00688,8.563711,88.82,0.1768,1.136,0.008011,54.22,0.339215,0.934551,-0.947888,0.337479,1034,1,23.54,12590,15160,22.4,13290,1021,17640,1933,1.221,0.02606,2470,1,7102,4.17,-0.12,1.626,10.89,20.31,-6.148,0.841,0.2247,24.15,1.159,0.3027,AFP
14.4712,145.374,0.044734,4.011103,89.95,0.00334,28.79,1.233,2575,0.696246,-0.660509,1.347623,-0.547102,67,1,22.53,10290,12700,61.58,858,65,9385,5354,58.9,0.1543,1880,0,4825,2.64,0.07,12.07,6.118,17.1,-4.428,0.6872,0.2283,24.89,1.317,0.2589,AFP
0.987061,131.918,0.017281,5.440281,84.65,0.5068,1.223,0.02779,329.5,0.405687,0.681552,-0.564148,0.17194,1354,1,56.55,13560,19800,25.13,17340,1333,18240,1664,2.448,0.02124,2280,1,6616,4.33,0.07,1.298,11.09,48.83,-3.571,0.9089,0.05527,53.73,1.158,0.07312,AFP
0.771639,132.134,0.007692,3.148201,77.15,0.7,1.357,0.02017,61.13,0.454791,0.495982,-0.286712,0.051532,1471,1,7.309,17550,21460,9.151,18810,1446,15130,2036,1.033,0.01795,2350,0,6423,4.37,0.21,1.231,5.371,8.747,-3.756,1.249,0,7.001,0.8356,0.4295,AFP
1.89116,132.749,0.021632,3.353552,86.19,0.2229,4.295,0.0956,592.3,0.66984,-0.658842,1.367076,-0.553609,329,1,20.88,10700,12960,23.95,4134,317,8768,769.4,1.874,0.0274,1160,1,4883,4.52,0.12,0.794,6.373,17.73,-4.497,1.256,0.1091,14.12,1.178,0.2537,AFP
0.980427,132.27,0.008239,5.370354,86.8,0.3,1.342,0.01205,83.38,0.618678,-0.567705,1.321446,-0.562588,1363,1,13.21,16800,19940,10.46,17410,1338,22000,2708,0.6491,0.01723,1390,1,4861,4.57,-0.16,0.722,4.018,10.63,-2.993,0.7071,0.01524,15.03,1.243,0.2816,AFP
13.7825,135.325,0.54261,45.475284,88.94,0.8428,2.992,2.334,176400,0.314424,0.505319,0.060487,-0.146181,98,1,6011,8505,2214,19100,1261,96,11840000,610100,39.55,0.09767,605,1,5246,4.6,-0.78,0.668,2701,12170,-11.9,0.8404,0,14470,0.4941,0.000978,AFP
0.538855,131.888,0.016766,1.007617,29.33,0.8784,2.092,0.1433,250.9,0.244592,0.981815,-0.773267,0.233963,2482,1,14.51,34230,46220,12.9,31670,2435,33240,3517,3.573,0.01317,3230,0,6006,3.88,-0.44,1.953,6.568,13.08,-6.56,2.725,0.000602,4.801,1.109,0.5013,NTP
0.566783,131.815,0.005306,2.168155,89.05,0.03593,2.006,0.0106,34.28,0.496239,0.082428,0.432277,-0.258573,2362,1,14.76,37350,45010,18.21,30250,2326,40080,4386,0.6114,0.01287,2260,1,5642,4.34,-0.08,1.056,5.635,14.03,-3.562,1.704,0.001809,8.235,1.052,0.2539,NTP
5.05266,135.064,0.011105,3.596181,88.86,0.0713,10.83,0.1195,144.1,0.225292,1.159215,-1.134542,0.400303,216,1,10.04,14230,17470,37.32,2236,171,75290,6516,1.98,0.06098,1570,0,6872,4.08,-0.48,1.634,4.016,9.959,-7.355,2.54,0.00002,3.92,1.008,0.7385,NTP
