@relation tce_half-weka.filters.unsupervised.attribute.Remove-R40-52-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute av_training_set {PC,AFP,NTP}

@data
0.737973,131.884,0.006997,2.01726,89.84,0.005566,2.814,0.01956,57.37,0.440832,0.418362,-0.202112,0.014503,1305,1,9.174,18140,19490,10.56,9685,744,13580,1343,2.078,0.01944,3830,0,7331,3.82,-0.14,2.722,3.253,7.133,-6.518,1.654,0.009398,4.313,1.286,0.9138,AFP
2.08608,133.416,0.067028,3.704606,75.46,0.9303,2.248,0.7863,3581,0.167226,1.204083,-1.046344,0.338384,639,1,678,35190,11110,1461,8112,623,402700,387700,6.795,0.03013,1500,1,6129,4.42,-0.74,0.929,152.1,1416,-16.39,1.21,1.207,1170,0.4787,0.01158,AFP
0.892084,131.805,0.058125,2.928927,71.71,0.9192,1.219,0.3435,2623,0.497436,0.032222,0.527726,-0.302688,1197,1,42.2,65520,15030,296.6,15040,1156,584200,2595000,5.423,0.0173,1720,1,5561,4.51,-0.16,0.855,304.5,1350,-138.6,7.579,0.000318,178.1,0.03126,0.1027,NTP
8.11763,132.422,0.008521,4.016453,83.35,0.4651,13.82,0.1486,82.28,0.319996,0.793478,-0.576748,0.156559,168,1,14.09,18260,22040,125.9,2093,160,7409,11200,1.245,0.08026,1120,0,6201,4.2,-0.22,1.339,14.24,18.15,-7.165,1.143,0.03475,15.89,0.7759,0.3947,NTP
1.80016,132.679,0.005733,2.348187,87.55,0.1002,5.861,0.03374,38.52,0.252315,1.072139,-1.006545,0.34476,746,1,9.928,32790,40470,16.31,9464,727,32240,5328,0.9127,0.0302,2030,0,6634,4.16,-0.36,1.459,9.136,8.766,-5.763,3.865,0.01516,2.268,1.133,0.6575,NTP
413.181,352.761,0.021141,90.723174,89.42,0.9159,15.71,1.832,309.6,0.744172,-0.379205,0.29837,0.289304,3,1,4.646,413.7,430.5,32.81,39,2,732.6,219.9,369.9,1.675,1490,0,3457,0.59,0.56,160.3,14.71,9.505,-7.821,0.6471,0.5301,14.69,0.4888,0.8228,NTP
15.9266,137.042,0.577142,14.163198,86.35,0.9019,11.11,11.48,175100,0.587597,-0.245438,0.853513,-0.417617,85,1,4608,13390,8171,13120,1092,83,10190000,158300,57.75,0.12,670,1,5496,4.47,0.06,0.917,953.4,6543,-1027,1.944,0.108,3366,0.7043,0.1569,AFP
1.80604,133.047,0.004414,1.275302,45.11,0.9,4.824,0.1095,17.07,0.148829,1.32454,-1.276775,0.453903,741,1,9.014,28020,33420,15.63,9490,729,27150,5051,1.097,0.03049,2480,0,6514,3.79,-0.72,2.278,6.034,8.768,-5.603,2.338,0.00332,3.75,1.028,0.639,NTP
0.56679,131.811,0.003743,1.186177,40.99,0.8953,1.656,0.03067,12.23,0.248839,0.982891,-0.796106,0.241746,2359,1,9.406,33020,39490,10.54,30290,2329,48570,4327,0.4321,0.01307,2450,1,6170,4.36,-0.46,1.058,21.06,8.861,-1.488,0.3518,0.006768,25.19,1.061,0.168,NTP
0.566801,131.792,0.034477,2.229175,87.43,0.1,2,0.06731,1432,0.345713,0.520828,-0.06238,-0.080903,2364,0,-1,-1,-1,10.37,30280,2328,33310,3431,2.814,0.0124,1910,1,5585,4.59,-0.5,0.748,5.372,8.962,-4.102,0.8979,0,9.981,-0.1116,0.4578,NTP
0.566801,131.792,0.024996,2.208551,87.4,0.1,2,0.04925,755.5,0.499798,0.104399,0.385255,-0.242011,1097,0,-1,-1,-1,9.013,14010,1077,23230,1647,2.728,0.01341,2200,0,5780,4.44,0,1,5.354,7.703,-2.721,0.5891,0,13.07,-0.1298,0.3532,NTP
0.947724,132.396,0.11566,3.090909,73.07,0.9001,1.544,0.6217,10650,0.151792,1.277273,-1.17112,0.397607,1409,1,1747,37740,18510,2536,18020,1385,174300,110500,16.02,0.0182,2320,1,6302,4.18,-0.7,1.269,243.4,2972,-4.651,1.168,1492,2544,0.5879,0.001565,AFP
1.5993,132.036,0.011273,2.552524,88.33,0.07434,4.827,0.05411,147.2,0.407966,0.813302,-0.883932,0.328299,273,1,6.486,9301,12030,13.63,3393,260,7313,1073,3.139,0.03248,2880,0,7377,3.88,-0.08,2.552,6.289,7.242,-5.737,3.575,0.001967,2.025,0.8957,0.7922,NTP
180.17,258.424,0.432999,262.34171,89.98,0.1,7.5,2.283,216900,0.354548,0.758778,-0.60492,0.180031,0,0,-1,-1,-1,3862,39,2,17700000,278800,54.57,0.658,377,1,6446,4.38,-0.1,1.155,2408,2729,-1282,1.413,0,1931,-0.000367,0.4697,NTP
7.20956,131.981,0.009773,3.422096,89.53,0.02792,16.25,0.1573,114.5,0.325182,0.741905,-0.472203,0.112584,191,1,14.42,22030,26080,44.83,2379,182,4465,2119,2.532,0.07864,1450,0,5970,3.78,-0.22,2.374,11.09,12.76,-11.94,2.355,0.4217,5.417,1.13,0.936,NTP
2.44933,132.799,0.01333,3.269913,73.58,0.9245,2.374,0.2002,132,0.643965,-0.62441,1.358667,-0.560299,438,1,10.71,7931,9540,11.01,5616,431,4470,877.7,1.089,0.03199,1030,1,4840,4.55,-0.04,0.749,10.22,8.962,-3.034,0.6558,1.478,13.66,1.195,0.3385,AFP
0.5668,131.792,0.004769,1.852954,74.33,0.5005,2.036,0.01287,25.58,0.369225,0.579732,-0.252496,0.01351,2360,1,11.22,37980,46050,11.29,30250,2326,38930,3579,0.4839,0.01332,2210,0,6000,4.49,-0.22,0.93,7.393,10.02,-2.997,1.451,0.003031,6.908,1.12,0.2991,NTP
1.93859,131.79,0.005994,2.01264,82.83,0.2512,7.168,0.04557,41.9,0.244938,1.018476,-0.869733,0.275279,690,1,10.72,32370,38920,13.55,8697,668,11670,1997,0.6293,0.03058,1570,0,6347,4.48,-0.44,0.962,4.486,9.991,-8.196,2.555,1.069,3.91,1.073,0.8204,NTP
3.41228,133.968,0.008539,1.016289,12.47,0.9923,4.623,1.769,44.66,0.445016,0.544684,-0.471167,0.142728,258,1,11.76,14700,16900,12.58,4030,309,3702,552.3,2.367,0.05503,2340,0,7810,3.91,-0.04,2.54,4.788,10.9,-9.675,3.154,0.03279,3.456,1.079,0.8876,AFP
0.633883,131.561,0.008887,1.010923,89.94,0.001084,4.833,0.04257,91.67,0.245536,1.14236,-1.150692,0.404395,1693,1,21.7,33370,47110,15.61,21710,1669,17590,1072,1.268,0.01564,2920,0,7239,4.31,-0.44,1.308,17.96,12.68,-8.02,3.938,0.00054,3.22,1.711,0.6324,NTP
10.2977,131.733,0.020822,12.880088,86.83,0.7121,4.467,0.1811,449.3,0.530618,0.055817,0.412351,-0.24536,133,1,38.53,5033,5224,46,1716,131,1695,1624,2.363,0.09424,857,1,5850,4.43,0.14,1.04,10.02,37.87,-3.05,0.7496,3.775,50.53,1.017,0.08052,AFP
7.45325,131.754,0.017153,12.806323,86.93,0.6869,3.335,0.1049,311.2,0.742463,-0.808618,1.483674,-0.558451,176,1,10.47,4272,5364,15.72,2288,175,2855,908.9,30.89,0.09615,2660,1,4598,2.33,0.1,16.5,11,10.85,-2.853,0.7652,0.9102,14.18,0.9649,0.263,AFP
1.30588,131.721,0.004903,1.119096,30.96,0.9596,2.659,0.1554,18.63,0.404132,0.812433,-0.860847,0.318633,1029,1,8.019,34290,41730,12.01,13100,1007,28980,2872,1.557,0.02796,3210,0,7125,3.74,-0.02,2.91,4.278,7.934,-4.079,3.724,0.7534,2.13,1.011,0.5141,AFP
11.9613,140.456,0.53541,15.472758,87.18,0.7619,7.873,4.882,206400,0.463458,0.135706,0.409647,-0.262185,113,1,4575,16890,7419,11150,1443,110,8879000,146800,46.39,0.09775,701,1,5578,4.58,-0.24,0.794,894.6,6731,-1034,1.778,12.01,3785,0.6797,0.1537,AFP
