@relation tce_features-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute tce_fwm_stat numeric
@attribute tce_fwm_sra numeric
@attribute tce_fwm_sdec numeric
@attribute tce_fwm_srao numeric
@attribute tce_fwm_sdeco numeric
@attribute tce_fwm_prao numeric
@attribute tce_fwm_pdeco numeric
@attribute tce_dicco_mra numeric
@attribute tce_dicco_mdec numeric
@attribute tce_dicco_msky numeric
@attribute tce_dikco_mra numeric
@attribute tce_dikco_mdec numeric
@attribute tce_dikco_msky numeric
@attribute av_training_set {PC,AFP,NTP}

@data
3.69634,132.053,0.020535,1.187211,35.31,0.9689,7.626,1.972,298.8,0.50183,-0.14815,0.73221,-0.404216,290,1,9.004,22880,30770,19.98,3640,279,6937,2124,9.544,0.05876,2720,0,7234,3.48,-0.28,4.259,5.567,8.103,-7.948,3.626,0,2.235,1.111,0.9809,4.9945,19.696195,39.431134,0.1666,0.1237,-0.00002,-0.000066,0.061517,-0.027497,0.067382,0.16332,-0.045164,0.16945,AFP
0.968246,132.411,0.00474,1.085126,89.23,0.01462,6.848,0.03232,28.06,0.616399,-0.358042,0.99523,-0.462032,1399,1,9.769,35270,42500,10.06,17690,1360,21430,2816,0.9394,0.01935,2280,0,5340,3.93,0.07,1.816,5.457,7.495,-5.393,2.191,0.000445,3.421,1.303,0.7195,23.719,19.461576,37.89336,-1.967,2.268,0.000053,-0.000071,0.43667,-0.22882,0.49299,0.40616,-0.29418,0.5015,AFP
8.65312,134.302,0.352556,12.630391,85.46,1,4.767,2.383,51220,-0.037331,1.774245,-1.755737,0.627404,156,1,322.8,6656,6345,525.6,1989,152,748600,9376,57.75,0.07957,1320,4,6911,4.04,-1.54,1.501,65.05,432.4,-8.339,2.87,1.122,150.6,0.7466,0.01929,30228,19.316299,39.264478,5.578,-9.295,-0.162,0.3218,0.681,-8.1616,8.19,5.0515,-11.803,12.838,AFP
0.918263,132.343,0.010938,2.674879,74.81,0.7008,1.911,0.04021,124.5,0.542443,-0.037307,0.5641,-0.309342,1462,1,10.43,16440,23660,8.788,18660,1434,38490,2869,1.066,0.01856,1750,0,5713,4.54,0.07,0.893,5.658,11.5,-7.303,1.572,0,7.314,0.9072,0.6352,10.253,19.900922,40.639242,0.3183,-1.359,-0.000024,0.000122,0.43576,0.092979,0.44556,0.33211,-0.040162,0.33453,AFP
0.702386,131.854,0.00584,1.949744,75.05,0.503,2.397,0.0186,37.72,0.266001,1.094336,-1.088332,0.383813,1907,1,9.433,35620,43500,12.59,24380,1874,46750,3861,1.045,0.01698,3010,0,6942,4.13,-0.3,1.64,5.792,9.935,-10.88,5.184,0.01951,1.916,0.9495,1.096,5.0829,19.463803,39.684881,-0.1095,-1.257,0.000002,0.000041,0.50403,-0.065789,0.5083,0.51637,-0.048598,0.51865,AFP
3.14622,132.88,0.007279,4.885262,89.71,0.02514,4.954,0.03582,62.52,0.341734,0.804002,-0.668688,0.206697,418,1,11.34,15860,19120,12.34,5356,411,4191,678.8,0.9238,0.04449,1470,0,6505,4.38,-0.12,1.163,6.159,12.04,-7.171,2.384,0.7249,5.051,0.9416,0.5955,0.097772,19.51814,38.17021,-0.03642,-0.3957,0.000006,0.000012,0.81073,-1.04,1.3187,0.77183,-0.99234,1.2572,AFP
8.56792,133.854,0.014063,3.903378,82.68,0.4972,14.82,0.2718,218.8,0.456636,0.589064,-0.572203,0.19305,129,1,11.25,9490,11570,21.53,1612,123,1961,794.6,3.887,0.1017,1690,0,7693,3.91,0.04,2.533,3.83,12.13,-7.446,2.676,0.5956,4.532,0.9276,0.6141,12.443,19.648168,39.575775,-0.2641,0.1618,0.00008,-0.000037,-0.15155,0.38876,0.41725,-0.1196,0.51507,0.52877,AFP
12.4258,133.954,0.032708,1.527294,51.07,0.9598,23.69,7.243,667.9,0.7341,-0.827096,1.481047,-0.53445,114,1,34.47,19530,22730,95.72,1430,109,4496,2725,2.666,0.09582,566,1,4593,4.57,0.3,0.747,4.607,20.21,-4.152,0.8724,1.693,23.17,1.705,0.2054,557.78,19.841315,40.568344,1.917,1.021,-0.001308,-0.00104,1.4631,0.54539,1.5615,1.483,0.39065,1.5336,AFP
44.8414,135.66,0.03469,33.27399,88.5,0.8708,5.754,0.7264,1026,0.613525,-0.519519,1.256658,-0.543875,20,1,23.64,876.1,1033,26.16,234,17,116.4,23.76,2.726,0.2267,389,4,4952,4.61,-0.1,0.72,7.021,22.81,-3.18,0.7202,1.782,31.67,1.037,0.1394,14.454,19.235903,40.616072,-0.3443,-0.2809,0.000668,0.000802,-0.11968,-0.019513,0.12126,-0.048984,-0.18438,0.19078,PC
2.22934,133.09,0.006434,8.612266,89.24,0.1136,1.978,0.01281,50.44,0.526034,-0.038428,0.5992,-0.326773,602,1,41.69,9435,11450,46.93,7683,590,19780,1673,0.6101,0.03242,1280,1,5591,4.52,-0.06,0.869,17.84,37.49,-2.216,0.591,0.08057,63.44,1.112,0.0591,9.4431,19.380262,43.607386,0.6209,0.6347,-0.00002,-0.00001,0.85181,-1.6135,1.8245,1.069,-1.2891,1.6747,PC
