@relation tce_features-weka.filters.unsupervised.attribute.Remove-R40-52-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute av_training_set {PC,AFP,NTP}

@data
0.745992,131.769,0.007945,1.676444,85.14,0.1419,3.392,0.02728,74.14,0.27236,0.959002,-0.811871,0.253686,1436,1,12.96,22900,24760,14.37,18360,1411,43290,3441,0.8817,0.01646,2220,0,6395,4.45,-0.34,1.017,5.091,8.498,-7.541,1.93,0.09567,4.404,1.525,0.8873,AFP
0.548762,131.962,0.011582,2.242247,71.46,0.7128,1.342,0.03087,137.4,0.44769,0.515373,-0.411139,0.107988,1592,1,14.48,13080,19510,9.816,15220,1170,30050,1118,2.619,0.0161,3980,0,7956,4.07,0.07,2.072,17.36,10.94,-5.402,3.718,0,2.943,1.324,0.4936,AFP
0.513837,131.908,0.01041,2.631182,87.82,0.1,1.5,0.01561,125.8,0.36346,0.902999,-0.925462,0.338411,2593,1,9.49,30330,38270,21.53,33360,2565,28940,3272,4.504,0.01557,4820,0,6842,3.52,-0.06,3.965,6.178,13.26,-13.34,9.527,0,1.392,0.7159,1.006,AFP
0.655051,131.772,0.0083,1.909536,68.49,0.7003,1.901,0.03047,71.27,0.325642,0.962027,-0.96709,0.343685,2043,1,13.34,28250,37380,17.62,26000,1999,29130,3126,1.542,0.01661,3140,0,7022,4.13,-0.14,1.703,5.454,13.06,-15.37,9.214,0.008604,1.417,1.021,1.177,AFP
4.88235,135.386,0.006877,6.980862,89.1,0.1095,5.348,0.03697,55.09,0.26351,1.085943,-1.066984,0.372836,278,1,10.24,12380,15290,12.34,3549,272,3456,531.3,1.014,0.06084,1440,0,6911,4.28,-0.3,1.351,5.891,10.33,-7.33,2.284,1.423,4.524,0.9914,0.7096,AFP
1.14189,132.651,0.502205,3.391553,81.52,0.5,3.644,1.492,265600,0.265457,0.942288,-0.74939,0.224483,1175,1,5440,735300,35550,6235,14950,1149,7143000,2969000,74.97,0.02116,2180,1,6158,4.15,-0.38,1.368,686.3,6999,-947.9,61.61,0,113.6,0.7773,0.1354,AFP
0.994692,131.765,0.029858,4.091059,79.96,0.7134,1.38,0.07915,913.6,0.375232,0.617071,-0.349988,0.064317,92,1,8.784,907.9,1341,8.203,1196,91,849,59.65,3.688,0.01961,2050,0,6127,4.34,-0.14,1.132,12.78,9.239,-8.457,2.702,0.005752,3.42,0.9507,0.9153,AFP
3.88678,133.061,0.141302,3.750898,88.47,0.1,9,1.124,24200,0.499798,0.104399,0.385255,-0.242011,159,0,-1,-1,-1,109.6,2041,156,1604000,43840,15.42,0.04839,1160,1,5780,4.44,0,1,36.48,147.6,-27.38,15.53,0,9.504,-0.006777,0.1856,AFP
1.89131,132.66,0.01181,3.64892,89.84,0.01013,4.006,0.04677,167.2,0.279357,0.801095,-0.477004,0.096273,707,1,22.18,21630,26300,23.86,9048,695,6891,1175,1.165,0.02769,1460,1,5804,4.42,-0.54,0.904,5.786,20.01,-3.034,0.8539,1.215,23.43,1.108,0.1516,AFP
1.97518,131.637,0.008683,6.757283,84.05,0.7,1.622,0.02715,78.06,0.377769,0.649112,-0.424642,0.101536,675,1,15.29,8778,10650,15.17,8710,669,4933,880.2,1.226,0.0317,1750,1,6225,4.25,-0.08,1.294,7.341,15.31,-2.175,0.7374,1.656,20.76,0.9988,0.142,AFP
0.523453,131.725,0.003216,2.683466,78.85,0.519,1.279,0.005607,11.49,0.40954,0.511754,-0.217411,0.011166,2557,1,6.147,30740,37390,18.97,32790,2521,26260,3206,0.3997,0.01296,2530,1,6124,4.35,-0.04,1.139,12.32,16.67,-4.632,1.264,0.03368,13.2,0.3686,0.2778,AFP
1.28928,132.243,0.019417,1.013137,32.14,0.8579,5.353,0.3674,347.5,0.476817,0.184255,0.160142,-0.145507,1039,1,13.95,31140,45590,16.84,13320,1024,77340,4158,7.528,0.02929,3610,0,7419,3.64,-0.16,3.553,6.155,9.279,-9.093,3.18,0.5744,2.918,1.503,0.9799,AFP
3.28973,131.755,0.015252,7.960907,84.96,0.6997,2.322,0.0674,241.9,0.399852,0.51626,-0.202807,0.001209,406,1,24.28,7411,9017,29.98,5226,401,28970,1164,1.711,0.04363,1300,2,6052,4.42,-0.12,1.028,16.97,22.47,-2.048,0.6936,0.02133,32.4,1.081,0.09114,PC
6.78342,136.104,0.025542,5.190685,79.51,0.945,3.976,0.7799,515.4,0.29844,0.915694,-0.788568,0.25097,168,1,32.52,4846,5860,35.11,2132,163,1472,238.2,3.116,0.07322,1120,3,6487,4.4,-0.22,1.118,5.413,30.61,-3.475,0.8018,0.02485,38.18,1.062,0.1135,PC
4.80065,134.375,0.10361,4.015593,79.88,0.7053,7.752,1.335,11090,0.34248,0.855072,-0.782934,0.262214,222,1,191.7,13430,15700,196.2,2795,214,23310,3953,15.7,0.06049,1420,1,6705,4.26,-0.1,1.389,22.85,200,-12.04,3.706,0.177,53.96,0.9583,0.0602,AFP
586.493,343.171,0.01589,253.09369,89.88,0.5395,15.24,0.3341,280.1,0.338151,0.776108,-0.591999,0.169492,3,1,3.958,368.3,397.1,33.95,39,2,347.5,60.62,2.171,1.405,263,0,6318,4.27,-0.16,1.252,22.57,9.51,-6.094,0.6588,4.2,14.44,0.4162,0.6408,NTP
46.1509,176.629,0.046634,29.225634,88.23,0.9042,6.359,1.317,1817,0.503468,0.185554,0.225494,-0.165115,30,1,223.1,1626,1717,320.9,390,29,2085,108.8,10.5,0.2758,710,1,5882,3.93,0.16,2.064,64.2,242.5,-3.542,0.6661,2.728,364,0.9202,0.01461,PC
175.139,296.035,0.023452,122.81077,89.88,0.2625,10.78,0.2648,647,0.39952,0.565304,-0.300448,0.045556,8,1,18.37,672.8,785.3,22.38,104,7,61.64,29.3,2.815,0.6342,361,2,6210,4.4,-0.02,1.1,9.271,18.85,-3.743,0.7275,0.3789,25.91,0.9744,0.1986,PC
459.31,260.224,0.026735,591.94745,89.93,0.7261,4.303,0.2305,737.1,0.43454,0.7447,-0.43944,0.07572,3,1,2.446,79.5,74.73,12.51,39,2,19.49,2.73,0.7819,0.7485,88.3,0,3344,5,0.02,0.268,11.75,11.71,-10.28,0.714,0,16.4,0.2089,0.8782,NTP
374.513,430.314,0.5,856.41129,89.99,0.1,5,1.679,561300,0.226354,0.984228,-0.699883,0.182496,0,0,-1,-1,-1,8514,39,2,167200000,2933000,38.79,0.9367,220,1,5714,4.63,-0.74,0.711,3826,5479,-3675,0.9977,0,5492,-0.000183,0.6708,AFP
3.09332,134.51,0.02201,1.028005,17.95,0.978,6.821,2.425,345.7,0.442609,0.727471,-0.806722,0.298065,194,1,11.72,6890,5770,10.2,1521,116,1534,181.2,4.256,0.04897,2020,0,7620,4.16,0,1.772,3.924,9.874,-6.641,0.741,0,13.32,1.187,0.6726,AFP
282.168,160.777,0.021332,1445.0175,89.98,0.5076,1.322,0.03693,545.1,0.887179,-0.986266,1.145646,-0.085734,3,1,7.715,250.3,37.01,21.08,39,2,86460,3.199,359.2,0.8728,1920,0,3274,0.11,-0.08,154.3,337.1,9.666,-4.865,0.6829,0,14.16,0.7981,0.5032,NTP
0.717988,132.082,0.001927,1.094708,34.7,0.9,2.206,0.02215,3.222,0.398439,0.377357,-0.037444,-0.067571,1486,1,1.491,26050,31360,10.16,18850,1449,34180,2976,0.9334,0.01958,4720,0,7105,3.43,-0.38,4.438,6.062,8.277,-5.387,1.954,0.000074,4.237,0.1802,0.6508,NTP
58.362,138.194,0.068878,65.345678,89.56,0.507,6.42,0.5452,5440,0.596774,-0.229707,0.806509,-0.39588,21,1,189.8,1060,1253,268.9,273,20,931.4,65.41,7.163,0.2916,446,2,5592,4.47,0.16,0.953,59.84,201.8,-3.637,0.7855,3.728,256.9,0.9403,0.01803,PC
8.74197,135.423,0.014557,16.168073,89.63,0.1055,4.168,0.06047,255.8,0.46784,0.241807,0.189844,-0.162382,130,1,15.56,4240,5039,16.43,1664,127,948.4,155.8,1.585,0.08321,898,2,5878,4.44,-0.02,0.998,4.569,15.27,-2.406,0.7826,0.2367,19.52,1.019,0.1575,PC
1.62752,131.947,0.012669,1.029436,13.73,1,1.929,0.9643,46.5,0.274605,1.051403,-1.022685,0.35593,821,1,14.52,34440,41390,18.97,10520,808,23140,4262,1.797,0.0292,2020,1,6861,4.31,-0.26,1.3,12.2,14.04,-5.341,3.554,1.273,3.95,1.034,0.3805,NTP
538.45,141.298,0.024021,321.26211,89.97,0.1593,12.95,0.3115,735.1,0.6436,-0.445778,1.015042,-0.387141,3,1,6.538,400.2,356.4,6.825,39,2,342.7,1.344,1.625,1.096,146,0,4410,4.63,-0.34,0.62,25.26,11.32,-13.35,0.8615,2.7,13.14,0.5777,1.18,NTP
0.80514,131.546,0.005387,1.012122,27.22,0.9,2.723,0.07511,25.75,0.416514,0.780317,-0.821356,0.294675,1202,1,0.9644,14170,18890,13.93,21240,1633,40660,5405,0.8947,0.01951,2840,0,7282,4.26,0.07,1.522,5.648,12.93,-12,4.648,0.1171,2.781,0.0746,0.9286,AFP
2.75851,132.934,0.015961,3.8925,87.9,0.1427,5.446,0.0873,296.2,0.435176,0.505472,-0.369219,0.092248,489,1,12.6,20450,25240,10.32,6227,478,6568,835.3,5.437,0.04773,2770,0,7769,3.73,-0.06,3.122,7.591,12.82,-10.95,3.002,0.3477,4.27,0.9827,0.8543,NTP
6.76295,135.597,0.010465,1.746314,57.13,0.9477,10.37,0.9699,88.28,0.379025,0.85378,-0.884318,0.317261,157,1,8.114,13350,16450,20.9,2015,154,3335,1875,1.717,0.07918,1380,0,7199,4.24,-0.04,1.504,5.066,8.356,-8.078,2.997,3.902,2.788,0.971,0.9668,NTP
52.6083,158.629,0.013404,35.516411,88.97,0.6404,8.888,0.1975,193.3,0.303414,0.715317,-0.354955,0.042548,27,1,12.78,1911,2168,15.42,338,25,191,65.43,1.122,0.2582,437,1,5751,4.59,-0.52,0.767,6.831,12.8,-2.914,0.7395,0.425,17.31,0.9985,0.2276,PC
2.22991,132.36,0.013914,4.956518,88.84,0.1,3.468,0.04806,228.4,0.455741,0.069894,0.422609,-0.281482,595,1,24.57,13390,16970,33.05,7618,585,8272,1044,5.695,0.04201,3210,0,7693,3.59,-0.26,3.751,3.544,19.84,-14.63,2.49,0,7.966,1.239,0.7377,AFP
4.39874,133.125,0.005911,2.32214,72.39,0.7024,10.42,0.1202,36.3,0.405687,0.681552,-0.564148,0.17194,311,1,10.41,22100,25320,20.55,3939,302,6646,2892,0.8373,0.05751,1390,0,6616,4.33,0.07,1.298,4.066,10,-5.864,2.145,1.046,4.663,1.041,0.5864,AFP
6.17817,131.794,0.009278,13.265044,88.14,0.4311,3.247,0.03659,98.89,0.36567,0.571169,-0.22483,0.000946,157,1,37.04,3925,4680,39.65,1950,149,1616,247,1.115,0.06429,1080,4,5931,4.32,-0.24,1.101,5.28,35.6,-4.331,0.6934,0.1121,51.33,1.041,0.1217,PC
