@relation tce_features-weka.filters.unsupervised.attribute.Remove-R40-52-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute av_training_set {PC,AFP,NTP}

@data
0.943115,132.441,0.013113,1.01784,11.38,0.9978,1.24,1.415,62.35,0.416166,0.787989,-0.833393,0.300959,1418,1,14.81,33340,40390,16.52,18190,1398,28150,2720,2.732,0.02209,2970,0,7254,4.08,0.06,1.909,8.734,11.66,-10.18,7.542,0.1574,1.547,1.27,0.8727,AFP
1.60315,133.125,0.006211,3.417027,87.5,0.149,3.567,0.02251,45.03,0.259355,1.068465,-1.013559,0.348743,840,1,13.07,16700,17530,13.99,9906,761,15120,2033,1.055,0.0288,2170,0,6680,4.15,-0.32,1.556,3.913,12.28,-10.7,3.477,0.1511,3.532,1.064,0.8715,AFP
23.8704,136.967,0.115256,28.800243,88.07,0.9721,3.462,3.11,6411,0.405424,0.50085,-0.18381,-0.004881,4,1,96.59,92.61,121.3,111.7,52,3,2053,40.7,14.66,0.1627,711,1,6022,4.31,-0.1,1.166,80,116.8,-3.848,0.7903,0.8058,147.8,0.8272,0.03295,PC
0.543866,131.776,0.004617,1.689082,57.8,0.9,1.098,0.02606,18.7,0.444944,0.481408,-0.338681,0.071788,2452,1,8.831,22730,25320,9.393,31410,2415,31120,4055,1.088,0.01611,4080,0,7998,4.04,0.07,2.159,5.077,9.219,-5.015,2.667,0.000311,3.456,0.9579,0.544,AFP
514.517,260.265,0.012219,170.22833,89.7,0.8978,10.79,0.6408,111.8,0.845694,-1.107653,1.648463,-0.466181,3,1,2.314,176.5,167.7,39.34,39,2,411.4,15.91,93.5,1.528,1160,0,3881,1,-0.14,70.12,132.1,8.141,-4.786,0.6557,0,12.42,0.2842,0.5879,NTP
0.696144,131.886,0.005165,1.628622,89.36,0.01807,3.282,0.01687,31.4,0.50387,0.591224,-0.570546,0.197184,1922,1,10.44,31160,38490,13.4,24540,1887,75380,3408,2.303,0.01988,4240,0,6705,3.55,0.48,4.087,4.934,7.222,-6.086,3.449,0.2538,2.094,1.446,0.8427,NTP
0.566805,131.694,0.002959,2.256888,77.1,0.5039,1.664,0.006573,10.6,0.913915,-1.147049,1.478573,-0.296066,2358,1,13.96,30320,37830,11.14,30200,2322,52270,3824,8.842,0.01326,7600,1,3789,1.55,0.56,27.38,24.17,11.65,-4.489,1.631,0.000714,7.144,1.198,0.3852,NTP
21.1182,133.589,0.010618,14.732839,88.1,0.4878,9.692,0.1332,126.4,0.326958,0.853817,-0.731185,0.234477,66,1,15.95,4660,5670,31.59,845,64,1052,943.3,1.767,0.158,887,1,6469,4.14,-0.14,1.525,4.828,14.87,-2.987,0.7581,0.08742,19.61,1.073,0.2009,PC
0.956651,131.725,0.00786,1.572767,87.89,0.05778,4.676,0.03659,73.98,0.384409,0.536743,-0.203596,-0.004799,1122,1,10.97,36420,44020,11.85,14270,1097,12580,1542,0.7951,0.01905,1850,0,6011,4.51,-0.18,0.927,13.99,9.053,-5.271,2.908,0.4392,3.113,1.212,0.5822,NTP
0.626169,132.088,0.005128,3.083987,88.12,0.1013,1.551,0.007995,30.48,0.43044,0.376593,-0.120702,-0.03172,2135,1,15.79,27380,32330,9.949,27350,2103,36380,2871,1.36,0.01767,4150,0,8014,3.94,-0.14,2.43,4.31,12.1,-2.665,2.107,0,5.744,1.305,0.2202,AFP
491.571,607.869,0.026282,874.58657,90,0.000455,4.407,0.1129,922.4,0.777527,-0.965445,1.618194,-0.546338,3,1,9.029,98.69,81.45,27.14,39,2,638.9,31.13,73.35,1.228,843,0,4186,1.63,-0.18,25.57,21.87,8.467,-5.434,0.68,1.282,12.45,1.066,0.6417,NTP
1.62642,132.462,0.009186,2.772044,75.45,0.6964,3.274,0.05737,88.04,0.014298,1.607791,-1.433402,0.482962,831,1,12.86,20780,25050,20.87,10500,807,51300,5011,2.399,0.02482,2350,0,5435,3.57,-1.24,2.393,17.44,11.98,-9.849,1.889,0.03741,6.342,1.074,0.822,NTP
