@relation tce_half-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute tce_fwm_stat numeric
@attribute tce_fwm_sra numeric
@attribute tce_fwm_sdec numeric
@attribute tce_fwm_srao numeric
@attribute tce_fwm_sdeco numeric
@attribute tce_fwm_prao numeric
@attribute tce_fwm_pdeco numeric
@attribute tce_dicco_mra numeric
@attribute tce_dicco_mdec numeric
@attribute tce_dicco_msky numeric
@attribute tce_dikco_mra numeric
@attribute tce_dikco_mdec numeric
@attribute tce_dikco_msky numeric
@attribute av_training_set {PC,AFP,NTP}

@data
5.3279,133.544,0.008656,6.696714,83.98,0.7018,4.403,0.07385,78.16,0.358592,0.497526,-0.050488,-0.081738,242,1,12.14,8273,9916,13.33,3068,235,2011,379.7,0.8766,0.0548,1020,2,5638,4.39,-0.42,0.928,3.075,12.2,-3.142,0.5417,0.08125,22.53,0.9946,0.2574,25.326,19.148979,38.754035,-2.776,-0.4506,0.000222,0.000016,-0.27936,-0.10421,0.29817,-0.24249,-0.24754,0.34652,PC
1.07812,131.983,0.021462,2.067585,69.94,0.7091,2.929,0.1212,478.1,0.595958,-0.496894,1.25507,-0.552778,404,1,5.508,6638,11160,14.54,1820,139,24830,1113,1.689,0.01826,1360,0,4919,4.57,-0.24,0.721,7.646,8.142,-4.726,2.063,0.01954,3.948,0.6765,0.5804,16.686,19.592292,38.445705,-0.2727,-0.05333,-0.000072,-0.000274,0.018526,0.16235,0.1634,-0.19391,-0.070805,0.20643,AFP
2.25678,132.52,0.004684,2.117402,70.7,0.7,5.868,0.05341,22.82,0.396089,0.727442,-0.627669,0.202267,602,1,8.953,26920,32460,18.61,7618,585,15190,5302,1.061,0.03852,2120,0,6541,3.98,0.08,2.075,18.16,7.878,-7.713,4.714,0.1909,1.671,1.137,0.979,12.6,19.549065,42.121292,0.8134,-0.2582,-0.00002,0.000005,0.33963,0.37014,0.50235,0.42863,0.34123,0.54787,NTP
0.578549,132.046,0.009459,1.756685,80.31,0.2958,2.428,0.02491,104.3,0.466752,0.068682,0.403687,-0.259822,1918,1,10.94,22240,21610,10.3,21980,1690,23390,2322,4.438,0.0171,5030,0,7192,3.47,-0.26,4.3,4.319,8.756,-3.085,0.5773,0,15.17,1.25,0.3523,5.422,19.842858,39.779619,0.04333,-0.1108,0.00003,0.00002,-0.094562,0.093511,0.13299,-0.090579,0.087219,0.12574,AFP
48.6477,172.123,0.023128,75.130859,89.56,0.5825,4.161,0.1408,588.1,0.426852,0.442895,-0.114833,-0.034792,20,1,11.41,685.7,826.7,12.76,260,19,143,30.75,2.589,0.2693,525,3,6102,4.46,0,1.026,4.741,10.57,-3.427,0.7035,1.564,15.03,1.079,0.3242,4.1729,19.571238,39.036052,1.184,-0.965,-0.000607,0.000544,0.42345,0.58984,0.7261,0.5343,0.6725,0.85891,PC
0.566767,131.736,0.000647,2.623663,74.53,0.7,1.18,0.001495,0.4319,0.408828,0.50262,-0.199129,0.001525,2000,1,0.0456,24190,29130,11.66,25620,1970,30330,2833,0.0704,0.01372,2300,0,6108,4.47,-0.08,0.997,5.987,11.63,-4.32,1.47,0,7.909,0.003921,0.3715,-1,0,0,0,0,0,0,-1.1156,-0.80157,1.3737,-1.0182,-0.81368,1.3033,NTP
0.678468,131.607,0.013374,1.155558,42.87,0.847,2.496,0.1128,168.7,0.354487,0.911616,-0.944045,0.336946,1973,1,14.52,31970,33660,14.19,25190,1937,25600,1902,2.551,0.01731,3240,0,7318,4.13,-0.12,1.748,3.021,13.65,-6.306,1.456,0,9.374,1.064,0.4621,34.191,19.099934,37.970202,-0.07592,0.3321,0.000005,-0.000053,0.051499,0.11415,0.12523,0.054704,0.2043,0.2115,AFP
1.81438,133.205,0.032365,1.09467,24.66,0.9949,3.492,4.046,419.7,0.455522,0.230322,0.0715,-0.110147,739,1,16.42,23600,27910,24.32,9516,731,22350,4217,7.049,0.03515,2740,0,8254,4.08,-0.2,1.996,4.649,15.57,-12,7.396,0.000673,2.106,1.054,0.7707,34.695,19.464954,37.125054,0.01497,0.3734,0.000051,0.00013,-0.088144,0.096424,0.13064,-0.15776,0.22144,0.27189,AFP
497.618,131.521,0.01116,637.5177,89.99,0.1,6,0.06688,148.5,0.344526,0.686162,-0.412089,0.085655,2,0,-1,-1,-1,9.897,39,2,78.05,2.837,1.685,1.235,284,0,6074,4.16,-0.2,1.384,9.896,9.828,-4.773,0.7283,0,13.49,-0.1018,0.4857,-1,0,0,0,0,0,0,0,0,0,0,0,0,NTP
0.753913,132.011,0.004117,1.145454,38.21,0.9,2.239,0.04749,15,0.271388,1.092041,-1.1038,0.390664,1417,1,3.391,23630,30330,14.19,18030,1386,56000,2670,0.6689,0.01778,2870,0,7118,4.21,-0.32,1.489,5.242,7.398,-9.197,4.76,0.01275,1.554,0.4583,1.243,7.4511,19.588733,38.578247,-2.153,1.537,0.000032,-0.000026,0.016031,0.0984,0.099698,-0.007046,0.16865,0.1688,AFP
