@relation tce_half-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute tce_fwm_stat numeric
@attribute tce_fwm_sra numeric
@attribute tce_fwm_sdec numeric
@attribute tce_fwm_srao numeric
@attribute tce_fwm_sdeco numeric
@attribute tce_fwm_prao numeric
@attribute tce_fwm_pdeco numeric
@attribute tce_dicco_mra numeric
@attribute tce_dicco_mdec numeric
@attribute tce_dicco_msky numeric
@attribute tce_dikco_mra numeric
@attribute tce_dikco_mdec numeric
@attribute tce_dikco_msky numeric
@attribute av_training_set {PC,AFP,NTP}

@data
2.2801,133.196,0.004667,2.544695,74.58,0.6765,5.085,0.04338,22.9,0.185393,1.186432,-1.067913,0.358174,589,1,6.914,24990,29960,12.28,7488,575,9469,1439,0.714,0.03328,1800,0,6296,4.12,-0.58,1.402,5.226,8.547,-6.229,3.82,0.06274,2.237,0.8089,0.7289,1.4198,19.802923,41.82179,0.1891,-0.4305,-0.000004,0.000012,-0.009557,0.005449,0.011002,-0.10819,0.031947,0.11281,NTP
566.92,278.743,0.01933,349.92555,90,0.003916,12.62,0.2392,440.3,0.460605,0.614635,-0.54185,0.173359,3,1,5.143,236.7,268.3,10.99,39,2,20.59,1.931,4.124,1.564,331,0,6715,4.06,0.3,1.955,8.013,7.225,-3.203,0.62,0.4088,11.65,0.7118,0.4434,1.5106,19.556293,39.617392,0.348,0.7851,0.000001,-0.000363,-1.3359,4.1812,4.3894,-1.2469,4.1473,4.3307,NTP
0.527441,131.707,0.00813,1.454669,51.78,0.8999,1.259,0.05163,57.8,0.449938,0.268682,0.026345,-0.093685,338,1,7.083,4030,4956,8.753,4329,332,5123,504.8,1.904,0.01556,4220,0,8145,4.03,-0.16,2.146,6.107,7.756,-2.244,0.9351,0.000003,8.295,0.9132,0.2894,34.268,19.174276,42.470533,1.08,5.626,-0.00006,-0.000316,-0.57956,-2.4208,2.4892,-0.56029,-2.3467,2.4126,NTP
2.91037,133.824,0.006781,3.857478,90,0.000278,5.803,0.03908,53.37,0.37099,0.886304,-0.929716,0.335528,361,1,5.981,7395,9253,12.1,1937,148,1815,400.6,1.467,0.04649,2100,0,7277,4.04,-0.08,1.982,3.577,8.17,-6.232,1.914,5.911,4.269,0.7321,0.7627,0.61896,19.798849,41.449575,0.04017,-0.4492,-0.000002,0.000013,-0.17956,1.7492,1.7584,-0.34825,1.6396,1.6761,NTP
503.357,172.358,0.01887,247.78045,89.9,0.4151,14.44,0.3219,412.1,0.484958,0.283182,0.074933,-0.106406,3,1,4.398,373.7,398.6,58.67,39,2,365.2,188.8,2.621,1.303,265,0,6065,4.29,0.16,1.273,18.1,8.508,-4.202,0.6558,2.459,12.97,0.5169,0.4939,0.88272,19.62673,39.792821,0.009924,0.3291,0.000038,-0.000158,-0.093591,0.30069,0.31491,-0.050055,0.24448,0.24955,NTP
3.5733,133.793,0.007748,3.423128,83.31,0.3988,7.38,0.06738,68.73,0.368229,0.720598,-0.556183,0.16027,302,1,8.573,16050,19710,13.42,3835,294,3950,520,0.9918,0.04826,1400,0,6422,4.37,-0.06,1.173,7.174,9.384,-8.19,2.325,0.3691,4.036,0.9136,0.8727,22.228,19.65985,40.378299,0.3876,-2.74,-0.000023,0.000235,-0.064796,0.10689,0.125,-0.096678,0.090393,0.13235,NTP
0.781544,131.538,0.012312,2.004836,87.14,0.1,3,0.03685,177.6,0.452022,0.109397,0.351114,-0.255995,704,0,-1,-1,-1,15.43,4732,363,19690,1680,2.683,0.01968,3520,0,7919,4.06,-0.24,1.997,4.744,8.558,-9.591,2.062,0,4.149,-0.1169,1.121,-1,0,0,0,0,0,0,0,0,0,0,0,0,NTP
1.47816,131.642,0.008356,2.156945,82,0.3002,5.04,0.04586,80.37,0.23723,1.157404,-1.149035,0.412514,603,1,12.32,18090,16590,20.01,7696,591,38110,5704,2.38,0.02842,2860,0,6762,3.75,-0.42,2.61,4.92,10.42,-13.44,7.509,0.001981,1.387,1.183,1.29,69.156,19.544625,42.429787,-0.9962,-0.1463,0.000104,0.000024,-0.11655,-0.01805,0.11794,-0.00384,0.025008,0.025301,NTP
0.524307,131.99,0.006937,1.276836,60.35,0.6316,2.46,0.02807,51.21,0.075353,1.54634,-1.567377,0.563415,2551,1,12.64,39500,53620,8.74,32710,2515,95410,2921,1.345,0.01304,3720,0,7214,3.97,-1.12,1.777,13.71,7.797,-7.318,3.689,0,2.113,1.622,0.9386,9.0117,19.490798,42.503239,0.03133,0.3917,-0.00001,-0.000021,-0.041102,0.17946,0.18411,-0.11352,0.20747,0.2365,NTP
1.92819,132.693,0.007255,3.678202,82.19,0.5,3.502,0.03355,58.35,0.276186,1.060258,-1.045586,0.366881,694,1,12.08,18790,22720,11.72,8775,674,10330,1573,1.105,0.03299,1990,0,6929,4.26,-0.26,1.396,4.935,11.06,-6.123,2.502,1.425,4.421,1.092,0.5534,15.904,19.766862,40.970065,-0.2973,1.708,0.000013,-0.00009,0.025411,0.008186,0.026697,-0.014705,0.073667,0.07512,NTP
