@relation tce_half-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42

@attribute tce_period numeric
@attribute tce_time0bk numeric
@attribute tce_ror numeric
@attribute tce_dor numeric
@attribute tce_incl numeric
@attribute tce_impact numeric
@attribute tce_duration numeric
@attribute tce_ingress numeric
@attribute tce_depth numeric
@attribute tce_ldm_coeff1 numeric
@attribute tce_ldm_coeff2 numeric
@attribute tce_ldm_coeff3 numeric
@attribute tce_ldm_coeff4 numeric
@attribute tce_num_transits numeric
@attribute tce_full_conv numeric
@attribute tce_model_snr numeric
@attribute tce_model_chisq numeric
@attribute tce_model_dof numeric
@attribute tce_robstat numeric
@attribute tce_dof1 numeric
@attribute tce_dof2 numeric
@attribute tce_chisq1 numeric
@attribute tce_chisq2 numeric
@attribute tce_prad numeric
@attribute tce_sma numeric
@attribute tce_eqt numeric
@attribute tce_nkoi numeric
@attribute tce_steff numeric
@attribute tce_slogg numeric
@attribute tce_smet numeric
@attribute tce_sradius numeric
@attribute tce_max_sngle_ev numeric
@attribute tce_max_mult_ev numeric
@attribute tce_minmes numeric
@attribute tce_mesmad numeric
@attribute tce_bin_oedp_stat numeric
@attribute tce_rmesmad numeric
@attribute tce_rsnrmes numeric
@attribute tce_rminmes numeric
@attribute tce_fwm_stat numeric
@attribute tce_fwm_sra numeric
@attribute tce_fwm_sdec numeric
@attribute tce_fwm_srao numeric
@attribute tce_fwm_sdeco numeric
@attribute tce_fwm_prao numeric
@attribute tce_fwm_pdeco numeric
@attribute tce_dicco_mra numeric
@attribute tce_dicco_mdec numeric
@attribute tce_dicco_msky numeric
@attribute tce_dikco_mra numeric
@attribute tce_dikco_mdec numeric
@attribute tce_dikco_msky numeric
@attribute av_training_set {PC,AFP,NTP}

@data
0.566729,131.905,0.002371,1.018459,26.33,0.9128,1.761,0.02467,4.724,0.391743,0.591173,-0.33467,0.063022,2361,1,5.266,35920,42690,9.144,30190,2321,32690,3506,0.3769,0.01392,2780,0,6158,4.16,-0.04,1.457,7.497,8.231,-2.418,0.572,0.002511,14.39,0.6398,0.2937,-1,0,0,0,0,0,0,-1.6529,1.5714,2.2806,-1.5667,1.4758,2.1523,NTP
498.393,244.081,0.050918,270.44575,89.8,0.957,6.112,2.472,1658,0.671326,-0.523765,1.177634,-0.512785,3,1,41.03,103,148.1,47.03,39,2,41.66,5.504,17.82,1.422,344,2,5198,3.61,0.19,3.207,27.1,42.8,-4.052,0.6871,2.257,62.3,0.9585,0.09467,3.2273,19.978408,40.85657,-0.09535,0.2871,-0.000358,-0.000244,0.20788,0.12903,0.24467,0.3052,0.23684,0.38631,PC
6.4482,131.628,0.007225,1.55215,54.15,0.909,13.77,0.55,44.96,0.354149,0.8176,-0.725528,0.239134,214,1,6.313,23210,27830,40.37,2665,204,6519,6719,1.375,0.07505,1400,0,6578,4.09,-0.06,1.744,5.383,7.889,-8.579,3.304,0.365,2.387,0.8003,1.087,16.122,19.215681,40.61314,-0.02755,1.081,0.00001,-0.00004,0.32928,-0.33122,0.46704,0.46677,-0.23282,0.52161,NTP
56.4351,151.41,0.023476,67.437841,89.41,0.6902,4.831,0.2074,580,0.559767,-0.157238,0.749021,-0.382012,25,1,41.52,934.3,1139,52.39,325,24,224.4,61.68,2.564,0.2759,465,1,5534,4.38,0,1.001,10.34,39.68,-3.645,0.6978,1.498,56.87,1.046,0.09186,6.1885,19.539609,42.896516,0.3486,0.3085,-0.000146,-0.000158,-0.11672,0.15433,0.1935,0.000409,0.22494,0.22494,PC
19.5566,149.931,0.01615,16.459939,88.26,0.4984,8.038,0.1691,297,0.356327,0.502448,-0.057127,-0.076611,70,1,87.9,4391,5218,109.9,871,66,1032,129.4,2.478,0.1371,794,1,5622,4.09,-0.4,1.406,13.75,78.71,-2.988,0.5971,0.000161,131.8,1.117,0.03796,3.8554,19.177003,39.244226,0.143,-0.2292,-0.000041,0.000013,0.12756,0.11194,0.16971,0.14039,-0.094314,0.16913,PC
3.05704,134.514,0.011458,4.728534,81.51,0.6984,3.614,0.07906,136.8,0.270398,0.889716,-0.646472,0.173108,350,1,13.99,9817,11890,14.91,4498,345,3250,558.7,1.036,0.04002,1210,1,6020,4.56,-0.48,0.829,5.71,13.69,-1.806,0.6533,1.667,20.95,1.022,0.132,6.864,19.590016,38.398018,-1.134,0.9639,0.000163,-0.000154,0.10604,-0.73479,0.7424,0.091513,-0.69103,0.69707,PC
4.08326,133.57,0.009583,8.763469,84.11,0.9,1.628,0.07826,80.9,0.518691,0.356394,-0.251031,0.047958,327,1,22.76,4298,5153,22.92,4173,320,46860,2974,1.992,0.06232,1960,0,8029,4.17,0.36,1.905,22.25,19.99,-13.33,3.864,0.000336,5.174,1.139,0.6666,20.273,19.269135,39.006854,-0.7781,-0.3099,0.000069,0.000038,-0.10411,-0.075982,0.12888,-0.084195,0.0623,0.10474,NTP
1.00785,132.002,0.00388,2.671845,85.58,0.206,2.831,0.01143,17.41,0.424263,0.747956,-0.756411,0.266417,1327,1,8.608,25140,30600,9.993,17000,1307,37580,3567,0.7004,0.02251,2670,0,7050,4.18,0.07,1.654,4.71,9.865,-7.671,3.333,0.6625,2.959,0.8726,0.7775,153.35,19.385987,38.622112,3.472,-5.104,-0.000063,0.000099,0.10802,-0.13092,0.16974,0.1823,0.11225,0.21409,NTP
0.566786,131.82,0.010274,1.597866,61.38,0.7653,1.787,0.04325,105.1,0.220785,0.843175,-0.363689,0.014314,2001,1,13.78,24060,29220,16.13,25680,1974,36200,2952,0.7175,0.01149,1740,1,5277,4.62,-1,0.64,7.28,12.9,-4.629,1.597,0.1901,8.077,1.068,0.3588,71.567,19.439134,42.828729,0.4651,3.991,-0.000142,-0.000421,-0.96906,-0.31504,1.019,-1.285,-0.53643,1.3925,NTP
33.4158,137.924,0.01482,29.897005,89.28,0.3772,8.044,0.1366,256.1,0.452975,0.361331,-0.006874,-0.075504,40,1,23.72,2429,2978,29.86,507,38,315.7,67.21,2.296,0.2101,689,2,6007,4.18,0.07,1.42,8.551,24.4,-4.12,0.7088,1.508,34.43,0.9722,0.1688,14.614,19.198391,39.087535,0.2785,1.277,-0.000106,-0.000338,0.038708,-0.065332,0.075938,-0.062176,0.013971,0.063727,PC
